name,image_url,category,details_url,region,habitat
Spanish Mackerel,https://myfwc.com/media/13885/spanishmackerel.jpg,Mackerel,https://myfwc.com/wildlifehabitats/profiles/saltwater/mackerel/spanish-mackerel/,Florida,Saltwater
Wahoo,https://myfwc.com/media/13904/wahoo.jpg,Mackerel,https://myfwc.com/wildlifehabitats/profiles/saltwater/mackerel/wahoo/,Florida,Saltwater
Fantail Mullet,https://myfwc.com/media/13818/fantailmullet.jpg,Mullet,https://myfwc.com/wildlifehabitats/profiles/saltwater/mullet/fantail-mullet/,Florida,Saltwater
Striped Mullet,https://myfwc.com/media/13894/stripedmullet.jpg,Mullet,https://myfwc.com/wildlifehabitats/profiles/saltwater/mullet/striped-mullet/,Florida,Saltwater
Grass Porgy,https://myfwc.com/media/13825/grassporgy.jpg,Porgy,https://myfwc.com/wildlifehabitats/profiles/saltwater/porgy/grass-porgy/,Florida,Saltwater
Jolthead Porgy,https://myfwc.com/media/13836/joltheadporgy.jpg,Porgy,https://myfwc.com/wildlifehabitats/profiles/saltwater/porgy/jolthead-porgy/,Florida,Saltwater
Knobbed Porgy,https://myfwc.com/media/13838/knobbedporgy.jpg,Porgy,https://myfwc.com/wildlifehabitats/profiles/saltwater/porgy/knobbed-porgy/,Florida,Saltwater
Littlehead Porgy,https://myfwc.com/media/13845/littleheadporgy.jpg,Porgy,https://myfwc.com/wildlifehabitats/profiles/saltwater/porgy/littlehead-porgy/,Florida,Saltwater
Pinfish,https://myfwc.com/media/13856/pinfish.jpg,Porgy,https://myfwc.com/wildlifehabitats/profiles/saltwater/porgy/pinfish/,Florida,Saltwater
Red Porgy,https://myfwc.com/media/13861/redporgy.jpg,Porgy,https://myfwc.com/wildlifehabitats/profiles/saltwater/porgy/red-porgy/,Florida,Saltwater
Sheepshead,https://myfwc.com/media/13875/sheepshead.jpg,Porgy,https://myfwc.com/wildlifehabitats/profiles/saltwater/porgy/sheepshead/,Florida,Saltwater
Spottail Pinfish,https://myfwc.com/media/13890/spottailpinfish.jpg,Porgy,https://myfwc.com/wildlifehabitats/profiles/saltwater/porgy/spottail-pinfish/,Florida,Saltwater
Scaled Sardine,https://myfwc.com/media/13871/scaledsardine.jpg,Sea Bass,https://myfwc.com/wildlifehabitats/profiles/saltwater/scaled-sardine/,Florida,Saltwater
Bank Sea Bass,https://myfwc.com/media/13790/bankseabass.jpg,Sea Bass,https://myfwc.com/wildlifehabitats/profiles/saltwater/sea-bass/bank-sea-bass/,Florida,Saltwater
Black Sea Bass,https://myfwc.com/media/13798/blackseabass.jpg,Sea Bass,https://myfwc.com/wildlifehabitats/profiles/saltwater/sea-bass/black-sea-bass/,Florida,Saltwater
