name,image_url,category,details_url,region,habitat
Lemon Shark,images/lemonshark.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/lemon-shark/,Florida,Saltwater
Nurse Shark,images/nurseshark.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/nurse-shark/,Florida,Saltwater
Sand Tiger Shark,images/sandtigershark.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/sand-tiger-shark/,Florida,Saltwater
Sandbar Shark,images/sandbarshark.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/sandbar-shark/,Florida,Saltwater
Scalloped Hammerhead Shark,images/scallopedhammerhead.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/scalloped-hammerhead-shark/,Florida,Saltwater
Shortfin Mako Shark,images/shortfinmako.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/shortfin-mako-shark/,Florida,Saltwater
Smooth Dogfish,images/smoothdogfish.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/smooth-dogfish/,Florida,Saltwater
Spinner Shark,images/spinnershark.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/spinner-shark/,Florida,Saltwater
Spiny Dogfish,images/spinydogfish.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/spiny-dogfish/,Florida,Saltwater
Thresher Shark,images/threshershark.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/thresher-shark/,Florida,Saltwater
Tiger Shark,images/tigershark.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/tiger-shark/,Florida,Saltwater
Blackfin Snapper,images/blackfinsnapper.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/blackfin-snapper/,Florida,Saltwater
Cubera Snapper,images/cuberasnapper.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/cubera-snapper/,Florida,Saltwater
Dog Snapper,images/dogsnapper.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/dog-snapper/,Florida,Saltwater
Gray Snapper,images/graysnapper.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/gray-snapper/,Florida,Saltwater
Lane Snapper,images/lanesnapper.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/lane-snapper/,Florida,Saltwater
Mahogany Snapper,images/mahoganysnapper.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/mahogany-snapper/,Florida,Saltwater
Mutton Snapper,images/muttonsnapper.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/mutton-snapper/,Florida,Saltwater
Queen Snapper,images/queensnapper.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/queen-snapper/,Florida,Saltwater
Red Snapper,images/redsnapper.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/red-snapper/,Florida,Saltwater
Schoolmaster,images/schoolmaster.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/schoolmaster/,Florida,Saltwater
